chksm1(8);chksm2(8);Size(4);Type(3);Title(48);Region(20)
7465df3a;6c696221;0256;SMS;Dr. Robotnik's Mean Bean Machine                ;(Europe  Brazil) (En
032e8de8;c88a5064;0256;SMS;Dragon - The Bruce Lee Story                    ;(Europe)            
1fa3f3b7;9549fce4;0128;SMS;Dragon Crystal                                  ;(Europe  Brazil) (En
03a7d123;73069470;0256;SMS;Dynamite Duke                                   ;(Europe  Brazil) (En
63e63ca0;4e59175e;0256;SMS;Dynamite Dux                                    ;(Europe  Brazil) (En
4472c035;0e1cc1e0;0256;SMS;Dynamite Dux                                    ;(Europe  Brazil) (En
ea81a4f6;7db5b0fa;0512;SMS;Dynamite Headdy                                 ;(Brazil) (En)       
31e2f335;4f20694a;0256;SMS;E-SWAT                                          ;(USA  Europe  Brazil
015d7bd9;f7ca9801;0256;SMS;E-SWAT                                          ;(USA  Europe  Brazil
84694d7b;fd91cc7e;0256;SMS;E-SWAT                                          ;(USA  Europe  Brazil
1b3ddd9e;c10fce39;0256;SMS;E-SWAT                                          ;(USA  Europe  Brazil
d827a7db;c4bb1676;0256;SMS;E-SWAT                                          ;(USA  Europe  Brazil
dd74bcf1;dd74bcf1;0032;SMS;E.I. - Exa Innova                               ;(Korea) (En) (Unl)  
f06f2ccb;f06f2ccb;0032;SMS;Eagles 5                                        ;(Korea) (Unl)       
e5059391;c4d5efc5;0512;SMS;Earthworm Jim                                   ;(Brazil) (En)       
0c6d670b;7c28703a;0512;SMS;Ecco - The Tides of Time                        ;(Brazil)            
f60c5e50;6687fab9;0512;SMS;Ecco The Dolphin                                ;(Europe  Brazil) (En
820f5dae;5d5c50b3;0256;SMS;Enduro Racer                                    ;(Japan)             
b751c1bd;00e73541;0128;SMS;Enduro Racer                                    ;(USA  Europe  Brazil
b6e8ea4b;8813514b;0256;SMS;Excellent Dizzy Collection  The                 ;(Europe) (En Fr De E
c5d1ed67;aa140c9c;0512;SMS;Excellent Dizzy Collection  The                 ;(Europe)            
4538db2c;06965ed9;0128;SMS;F-1 Spirit - The Way to Formula-1               ;(Korea) (En) (Unl)  
eaebf323;eaebf323;0032;SMS;F-16 Fighter                                    ;(USA  Europe  Brazil
7ce06fce;7ce06fce;0032;SMS;F-16 Fighting Falcon                            ;(Japan)             
c4c53226;c4c53226;0032;SMS;F-16 Fighting Falcon                            ;(Taiwan) (Unl)      
184c23b7;184c23b7;0032;SMS;F-16 Fighting Falcon                            ;(USA)               
dfec2e50;ec788661;0256;SMS;F1                                              ;(Europe  Brazil) (En
17ab6883;17ab6883;0032;SMS;FA Tetris                                       ;(Korea) (Unl)       
66e6b853;9bb3b5f9;0512;SMS;FIFA International Soccer                       ;(Brazil) (En Es Pt) 
7aff15a7;7abc70e9;0128;SMS;Family Games                                    ;(Japan)             
7aafc1ff;b9664ae1;0256;SMS;Fantastic Dizzy                                 ;(Europe) (En Fr De E
ba8a57eb;c888222b;0256;SMS;Fantastic Dizzy                                 ;(USA  Europe) (En Fr
f357dafc;0ffbcaa3;0128;SMS;Fantasy Zone                                    ;(Japan)             
0195d28d;5fd48352;0128;SMS;Fantasy Zone                                    ;(Taiwan) (Unl)      
b944a453;f46264fe;0128;SMS;Fantasy Zone                                    ;(World) (Beta)      
22957b05;65d7e4e0;0128;SMS;Fantasy Zone                                    ;(World) (Rev 1)     
f22a285c;d29889ad;0128;SMS;Fantasy Zone - The Maze                         ;(USA  Europe  Brazil
cd9a52f4;b8b141f9;0256;SMS;Fantasy Zone II                                 ;(USA  Europe  Brazil
e4dcf8c2;c722fb42;0256;SMS;Fantasy Zone II - Opa-Opa no Namida             ;(Japan)             
57674c8a;bf6c2e37;0512;SMS;Ferias Frustradas do Pica Pau                   ;(Brazil)            
