chksm1(8);chksm2(8);Size(4);Type(3);Title(32);Region(7)
1e5be176;2bc023fc;0768;PCE;Super Momotarou Dentetsu II     ;(Japan)
6bb98c70;5d0e3105;0512;PCE;Super Star Soldier              ;(Japan)
b2523239;db29486f;0512;PCE;Super Star Soldier              ;(USA)  
059d4de3;ce2e4f9f;0256;PCE;Super Volleyball                ;(Japan)
db7e66d4;245040b3;0256;PCE;Super Volleyball                ;(USA)  
dbfed12d;cf73d8fc;0512;PCE;Susanoo Densetsu                ;(Japan)
afec249a;10b60601;0512;PCE;TV Sports Basketball            ;(Japan)
b4b61b94;ea54d653;0512;PCE;TV Sports Basketball            ;(USA)  
8bb377f4;968d908a;0384;PCE;TV Sports Football              ;(Japan)
a6cb3252;5e25b557;0384;PCE;TV Sports Football              ;(USA)  
6362bdf9;e7529890;0384;PCE;TV Sports Hockey                ;(Japan)
327ab290;97fe5bcf;0384;PCE;TV Sports Hockey                ;(USA)  
4f2b3cf2;6f4fd790;0384;PCE;Taito Chase H.Q.                ;(Japan)
df1e77b9;9298254c;0384;PCE;Taito Chase H.Q.                ;(USA)  
